Python 3.1.2 (r312:79360M, Mar 24 2010, 01:33:18) 
[GCC 4.0.1 (Apple Inc. build 5493)] on darwin
Type "copyright", "credits" or "license()" for more information.
>>> ================================ RESTART ================================
>>> 

Number of executions for each coin bias: 100000

p = probability of heads 
w = average wins of Player 1 
t = average number of coin tosses

p      w       t
0.348, 0.5003, 5.4058
0.349, 0.5006, 5.3854
0.350, 0.5002, 5.3782
0.351, 0.5028, 5.3894
0.352, 0.4989, 5.3854
0.353, 0.4978, 5.3737
0.354, 0.5036, 5.3700
0.355, 0.4997, 5.3621
0.356, 0.4990, 5.3682
0.357, 0.5013, 5.3552
0.358, 0.5009, 5.3614
0.359, 0.5008, 5.3563
0.360, 0.4967, 5.3473
0.361, 0.4977, 5.3276
0.362, 0.5005, 5.3393
0.363, 0.5008, 5.3335
0.364, 0.4998, 5.3164
0.365, 0.4994, 5.2994
0.366, 0.5028, 5.3288
0.367, 0.5001, 5.3072
0.368, 0.4989, 5.3087
0.369, 0.4994, 5.2966
0.370, 0.5004, 5.2979
0.371, 0.5012, 5.2824
0.372, 0.4991, 5.2772
0.373, 0.5009, 5.2718
0.374, 0.4998, 5.2739
0.375, 0.5012, 5.2808
0.376, 0.5030, 5.2432
0.377, 0.4981, 5.2366
0.378, 0.4994, 5.2596
0.379, 0.4998, 5.2562
0.380, 0.5010, 5.2435
0.381, 0.5013, 5.2553
0.382, 0.5019, 5.2250
0.383, 0.4973, 5.2346
0.384, 0.4995, 5.2121
0.385, 0.4996, 5.2207
0.386, 0.4983, 5.2294
0.387, 0.4998, 5.2270
0.388, 0.4993, 5.2189
0.389, 0.4975, 5.2053
0.390, 0.4999, 5.2168
0.391, 0.4987, 5.1998
0.392, 0.5017, 5.1988
0.393, 0.4993, 5.1911
0.394, 0.4999, 5.1915
0.395, 0.4975, 5.1950
0.396, 0.4983, 5.1725
0.397, 0.4980, 5.1713
0.398, 0.4988, 5.1914
0.399, 0.4983, 5.1737
0.400, 0.4990, 5.1826
0.401, 0.4993, 5.1663
0.402, 0.5018, 5.1570
0.403, 0.4976, 5.1487
0.404, 0.4985, 5.1518
0.405, 0.5000, 5.1594
0.406, 0.5017, 5.1622
0.407, 0.5003, 5.1336
0.408, 0.4986, 5.1427
0.409, 0.4998, 5.1292
0.410, 0.5028, 5.1315
0.411, 0.5027, 5.1315
0.412, 0.5016, 5.1217
0.413, 0.5012, 5.1269
0.414, 0.4991, 5.1107
0.415, 0.5023, 5.1259
0.416, 0.5005, 5.1296
0.417, 0.5015, 5.1132
0.418, 0.5004, 5.1237
0.419, 0.4981, 5.1030
0.420, 0.5000, 5.1137
0.421, 0.5019, 5.1003
0.422, 0.4994, 5.0966
0.423, 0.4989, 5.1015
0.424, 0.4999, 5.0982
0.425, 0.5021, 5.0897
0.426, 0.4999, 5.1012
0.427, 0.4984, 5.0777
0.428, 0.5029, 5.0791
0.429, 0.5001, 5.0900
0.430, 0.5011, 5.1062
0.431, 0.4998, 5.0779
0.432, 0.4986, 5.0907
0.433, 0.5015, 5.0787
0.434, 0.5029, 5.0757
0.435, 0.5012, 5.0544
0.436, 0.5027, 5.0560
0.437, 0.5029, 5.0579
0.438, 0.4969, 5.0458
0.439, 0.5003, 5.0482
0.440, 0.4980, 5.0623
0.441, 0.4995, 5.0572
0.442, 0.5008, 5.0498
0.443, 0.4980, 5.0525
0.444, 0.5016, 5.0358
0.445, 0.5039, 5.0579
0.446, 0.5013, 5.0495
0.447, 0.4998, 5.0528
0.448, 0.5011, 5.0525
0.449, 0.4995, 5.0528
0.450, 0.4985, 5.0244
0.451, 0.5036, 5.0464
0.452, 0.4989, 5.0446
0.453, 0.5001, 5.0297
0.454, 0.4993, 5.0359
0.455, 0.4989, 5.0405
0.456, 0.5018, 5.0384
0.457, 0.4984, 5.0261
0.458, 0.4986, 5.0141
0.459, 0.5011, 5.0249
0.460, 0.4999, 5.0246
